	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
SRR28210352	0.168689266944517	0.14489972500557	0.146126383693726	0.142912454025009	0.157271789842235	0.144108789822825	0.206768305961823	0.214303426449118	0.170372369813639	0.172009457935303	0	0.166145595481781	0.304428505395558	0.238459256776229	0.183039165891799	0.22934728391162	0.146789818706149	0.153071159477868	0.157203623051583	0.154706639324779	0.278330537692708	0.288276685168844	0.18447321753396	0.146223658645659	0.18410314213063	0.150142820234881	0.147386396859781	0.160902692814995	0.194523055038852	0.196443404471661	0.160188642180476	0.146513919338148	0.149137493269561	0.171235297643468	0.181920964149287	0.146176304432297	0.215175999692209	0.159752947754793	0.1526002835025	0.194295462690026
SRR28210353	0.137821899897021	0.142677577047448	0.165682518091984	0.161449372459753	0.184237450850057	0.176450034768015	0.234515806921372	0.241378184798636	0.199062075431102	0.188395996189976	0.166145595481781	0	0.337984315115757	0.263053153353204	0.219516785060986	0.254582754566596	0.174215049053146	0.179736494691653	0.182867977295649	0.167971649023681	0.31343193520232	0.320692306818084	0.22400551307355	0.162454270736785	0.201337548222119	0.185309773285782	0.183841328154435	0.182855673342827	0.221198979257466	0.213227778769764	0.160838510372564	0.150241984040299	0.166887429700561	0.19799913517236	0.228100604511536	0.162486105978328	0.234199194340115	0.207408995327369	0.171646507111262	0.215164173701697
SRR28210354	0.364147195029743	0.351280375650937	0.304975302126353	0.313124194549195	0.269863296654153	0.306985271406552	0.304058097398628	0.271372413030012	0.28695994056244	0.306130342278442	0.304428505395558	0.337984315115757	0	0.280818705318463	0.289602626954377	0.278775441847059	0.293571386872152	0.302391660767983	0.314790172739499	0.318178918170939	0.271068681262839	0.273066106804272	0.290013668131868	0.328439165413683	0.284202750784333	0.307964962726022	0.287246326482242	0.294093975055331	0.282995306616712	0.313327455398802	0.331461630639278	0.349732776618511	0.314478371792478	0.287412364870352	0.26962745593582	0.304984713936339	0.286342933176346	0.274965390462244	0.329304524878826	0.296320044895109
SRR28210355	0.279490645947633	0.26744656429637	0.214007458349343	0.240161858302081	0.211768844999406	0.242615584797216	0.214794484849944	0.178104087914527	0.214817466967579	0.213357564339355	0.238459256776229	0.263053153353204	0.280818705318463	0	0.201267266044673	0.193273015374252	0.219039800664476	0.210749553774209	0.222520348897784	0.227551877416835	0.232930183327647	0.233199209127846	0.238279943632553	0.251001433251011	0.209286340054348	0.230744622996167	0.208578987568373	0.199654979232144	0.241927981344048	0.214367741106952	0.237811209773357	0.25966412438822	0.242564206070838	0.194542159838586	0.218200654735158	0.220143242327302	0.198761481343103	0.22195378242058	0.255583403405132	0.21986620163742
SRR28210356	0.226143475435303	0.212048900075713	0.186541840448083	0.183703524983869	0.182643658391047	0.196835234592613	0.191566331132788	0.193221617239349	0.197125461541015	0.179340503573483	0.183039165891799	0.219516785060986	0.289602626954377	0.201267266044673	0	0.191298333616825	0.177776177804958	0.174238469156095	0.172709022577842	0.201794847085373	0.225931495722257	0.242417412020475	0.204856842537466	0.189210059572818	0.192796543653907	0.205842614527838	0.169207561855232	0.177773398478872	0.200402428967369	0.201703561274417	0.191361358594014	0.205997158038016	0.183318831368819	0.172721299972423	0.175447634836076	0.181530177519088	0.189317337682909	0.18452917591421	0.202107515118485	0.186731810311022
SRR28210357	0.26563874219546	0.252406000640421	0.202707601696328	0.219164511101142	0.204068153384585	0.22072918451495	0.202407769888413	0.188109877825568	0.220957963648882	0.203140289784957	0.22934728391162	0.254582754566596	0.278775441847059	0.193273015374252	0.191298333616825	0	0.204085125127918	0.201346234800737	0.21432936319237	0.21887634492045	0.229600965964387	0.235061666726727	0.237779433303476	0.233822688936995	0.20908569739067	0.223489624440253	0.200990501354724	0.185820286850991	0.23566694867664	0.208594546048891	0.223354904480293	0.246436696702561	0.230868766231544	0.186422975712591	0.211563619353485	0.207554355838402	0.185690068098309	0.209393773363955	0.238573099038688	0.206110082383403
SRR28210358	0.16746683063743	0.151187740730794	0.143683607679321	0.143432545701835	0.150025097776675	0.147523013855812	0.188412230135439	0.20506786329651	0.161780328387183	0.152413203678767	0.146789818706149	0.174215049053146	0.293571386872152	0.219039800664476	0.177776177804958	0.204085125127918	0	0.150139212889524	0.154374309137917	0.161141912605139	0.263314909711077	0.273469775910282	0.187318851443293	0.146092913176506	0.176821230816078	0.158526315128604	0.139913615022239	0.151102475708975	0.18824322535307	0.16881489876662	0.146587312362457	0.15040261010312	0.152232675051558	0.156922489795139	0.1797742203606	0.141543630192207	0.193452967876464	0.157152414456256	0.160008601455614	0.172831288386665
SRR28210359	0.175401635972679	0.154283401527979	0.149167414464285	0.145881670499047	0.158738705379405	0.152637064194616	0.191417052273	0.198176801804387	0.172786730181476	0.169052544483713	0.153071159477868	0.179736494691653	0.302391660767983	0.210749553774209	0.174238469156095	0.201346234800737	0.150139212889524	0	0.150682186790805	0.15351352012705	0.26826685206366	0.271967176055677	0.194260797277157	0.153159879730924	0.178767401039647	0.156720741080916	0.143981141930225	0.149316777800733	0.207757295314025	0.18307334288737	0.162611382115787	0.156279454235053	0.160710732363469	0.158677431352919	0.186308366877545	0.151127075944744	0.197475161682558	0.166283319163638	0.156014859447224	0.190822676392287
SRR28210360	0.17164718646691	0.152839522713333	0.15210024265018	0.138279817052182	0.171758308120083	0.163217042388038	0.189440449920825	0.209401092816043	0.179976137070387	0.172157938360844	0.157203623051583	0.182867977295649	0.314790172739499	0.222520348897784	0.172709022577842	0.21432936319237	0.154374309137917	0.150682186790805	0	0.163308370496141	0.283374898661183	0.290125724936167	0.198425647897443	0.137153558644117	0.192312676580935	0.167194434445297	0.159154736664744	0.154029181865236	0.215042176800885	0.176737293636684	0.15282169027709	0.154166613313261	0.14810625310941	0.152972318819876	0.201726151990454	0.148882072222074	0.204588977399505	0.175287330216931	0.152514074149248	0.186374659947648
SRR28210361	0.160865608415145	0.141507378340051	0.138124496929028	0.149125822987465	0.160922268429571	0.153121301145725	0.214051676881281	0.206746147416092	0.177656043016934	0.176211555467339	0.154706639324779	0.167971649023681	0.318178918170939	0.227551877416835	0.201794847085373	0.21887634492045	0.161141912605139	0.15351352012705	0.163308370496141	0	0.29106523330258	0.29434447308543	0.207772747994003	0.153549855943528	0.179258963932001	0.156777120611444	0.166333192895484	0.148327895061318	0.220685804094013	0.182341358899699	0.159577231714516	0.152243662460195	0.165509047419855	0.169634250984193	0.216037642354475	0.143693854239694	0.207716450168772	0.17821609896979	0.158376580807988	0.200195117589805
