# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
K00619	0	0.2972469007	0	0.9097227496	0.0971779632	0	0	0	0	0	0	0.09102083	0.3753480365	0	0	0	0	0	0	0	0.2075881121	0	0	0	0.1131141952	0	0	0	0	0	0	0	0	0.8169576497	0	0	0	0	0	0
K00620	20.7521378172	11.9214753931	15.3875423661	32.1115328594	18.2476785996	10.2958473792	55.8298268169	85.0828661409	31.8809457256	32.4525851129	23.7663503466	35.904795228	53.2276679656	66.22159805929999	67.2540953651	44.821265088	13.2978273074	21.3458307782	42.4697383353	12.795653879	63.6997150981	18.3763956398	34.2603003409	17.7546118063	44.1102556238	17.5911969386	14.4768827122	35.2562105088	49.120531318000005	30.8346873121	74.0155826698	22.8789356127	32.293118462399995	27.451860090100002	34.006471364199996	30.4154669591	87.0130587931	18.1443718279	10.2829251816	89.9015315442
K00625	7.3270125298	16.0933550965	8.598688688900001	6.4323599279	18.542005371200002	11.4188890074	14.4700083657	18.6680724047	10.860029968400001	13.338830559	14.1730493789	16.1325167111	22.3245888622	42.9271387455	25.752056815899998	6.1502737688	31.066861720200002	11.2124323485	13.1886489662	15.1707335678	17.7191010761	13.9770000174	17.4457377098	10.7134874872	69.0818731393	8.944147406399999	19.819100811200002	14.5396675275	19.0765645734	21.71769422	12.7960723992	13.244472592600001	13.8678084468	27.228424251699998	28.5323884448	12.1406526762	19.1201602778	14.4201292259	12.4492339506	23.4852153073
K00626	10.1740735932	7.035335339	7.7386778705	13.5518756798	34.9050716933	16.5537610988	10.697275104800001	19.0690522254	9.260612504	18.5625092637	7.370365860200001	9.6890178561	161.686678937	29.245768100699998	28.0720799553	9.0634944478	8.594609952799999	6.8800648319999995	9.3161904037	7.6954988186	18.1207698354	32.233099714	13.0115166955	8.4006533467	14.4993244366	11.0278362357	7.3033056617000005	21.464522991	29.7514217145	8.7894652366	14.7646412099	8.7072880336	8.7469234759	8.8417776027	19.5223756533	18.9680363228	32.4862069334	11.7210501797	9.569071687400001	13.0652943699
K00627	10.0750821346	0.1310994539	0.8263697475	3.0469134202999997	7.1389208151	6.514482392300001	14.164839029	14.5583523255	0.4411150985	0.3581975565	0.8531362721	2.8291701672	42.6493345995	5.164357063900001	2.1249261258	0.692842925	2.6851598422	1.5219684226999999	1.6160243431	12.3911066561	0.7125264357000001	12.0926830591	22.9828234471	1.8061680864	12.726782502699999	3.2214367742	0.8549512507	2.9111155176	6.0716901426000005	4.2056563444	0.7648995417	0.5226188659000001	1.8416172711	0.1565744668	5.7148920711999995	0.4002826646	5.4222268995	5.2600679012	1.2098916336999999	0.9690882430000001
K00631	1.4420781594	0.2679999387	1.5753855363	6.9910983645	16.5586288684	11.7436365511	0	4.2240673498	0.6147805762	1.1581222517	2.0490192943	1.2408119605	89.63893811	0	1.4043217784	2.2026247415	1.3157752338	0.6701490525	0.1830541769	0.3738081731	1.3765601136	20.4942282853	1.1241865544999998	2.5154295934	3.2668125376	1.5425505455	2.2630905699	8.9891808803	10.3238567482	0	0	0	2.0993796515	0.7862903164	2.2338478777	0.191305184	11.8729066363	6.7365185128	1.874196108	0.5347787809
K00632	3.6764468389	0.4032695852	3.262159739	12.9954753379	32.8427323449	22.8357810136	0.0925776172	8.688350462299999	0.8897670687	2.073573532	3.8192996289999996	4.6767162139	173.16079475659998	1.5598479056999999	2.2778393947	4.0835308105	3.6991489305	3.1230834956	0.7617070536	1.9490629491	2.4245508846	27.5075478696	2.659804169	4.7718828708	5.9773217288	3.7525085197	4.9831034947	16.7859198873	18.9395525648	1.3762117092000001	1.7092875546	1.9038946631	1.5589024521000001	1.0003132216	3.7930798531	1.3290877652	22.526457574800002	12.9805845083	4.276190401	0.7170656217
K00633	5.6608169634	0.5533545243	15.904667767100001	3.9803064865	29.356373220000002	7.1358517323	10.4446704084	16.3620559338	18.5585852922	0.4762613865	1.8758390544999999	11.1800410307	76.0632200169	102.2313922407	0.9050573601	6.734367342300001	5.9212838243	5.9144203921	5.621048257	0.2157520297	65.63577575720001	9.7064771076	2.7764468426	6.2941195809999995	21.0223232501	2.0498207576	1.8447642328	6.857215398099999	5.4823204899	0	0.4947700668	1.0038033585	1.9361227377	9.429649593899999	31.3048519191	0	8.3704836649	4.5141454705	9.1843798085	0.4054324602
K00634	0.2061072116	1.4095683949	0.4283462684	0.0872691621	0.5704893389	0	0	0	0.3456208213	0	0.1217392832	0.7872458736	0	0	0.1778121217	0	0.3833607629	0.4014380356	0.2035793123	11.4561611414	0	0	0.0736500553	0.5299256369	1.2800727373	1.2812092341	0	0.3880994001	0	0.42966966	0.2520623826	0.3135055339	0.665455103	0	0.1664890359	0.335299918	0.1254781039	0.6837951959999999	1.2107474892	0.0531755158
K00638	0	0	0	0.097864507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00639	29.7032969432	70.21705339580001	12.615568534	32.1203834779	84.2737425469	80.6530614971	6.5013276502999995	16.082363926	65.676236085	10.980000882799999	61.1407092538	66.5233532833	142.31599073889998	0.7891231981	20.2214938911	4.4719422934	58.529999450400005	23.9448273604	28.7218729371	78.7522192555	2.7606079482	25.8470257359	21.3137828948	44.7965901024	56.0642834707	103.560636796	75.9612842769	77.4868704695	23.8838216086	44.1780319304	2.3449857304	23.490886219	63.2338647554	63.029968319700004	6.1274253169	29.2132424251	26.8976405643	93.1682352182	102.534243667	9.7363961481
K00640	23.307443471400003	18.4588814932	10.1684430462	20.486503253	47.866360978100005	24.2501658839	1.9448086917	49.7846297693	31.081570691600003	2.2420652898	39.9164081625	40.8651088091	109.1628143032	28.5258470237	7.5968189031	4.3092655576	38.8224016047	14.5806005999	30.3459608708	18.6597345243	7.1749606911	142.5790731381	4.9666596038	29.9739746956	68.3806677861	36.76737413	25.4858885791	25.3804826434	53.5561779273	25.1417873289	5.5798176239	20.1536539162	28.067146512599997	29.1949524951	27.5788154948	24.8845081552	19.1895147171	67.83974509549999	40.1565626799	18.907128346100002
K00641	0	0.0319812277	0.0814204466	0.1388625618	0	0.042113195	0	0	0	0	0	0.2407488559	0.5549591623	0	0.4798738251	0	0	0.1561121655	0	0	0.3573768645	0	0	0	0.2685068543	0	0.2670080991	0	0.135970886	0	0	0.1867259657	0	0.0896133321	0	0	0.3273193667	0	0.1000509464	0.2710248502
K00645	10.581506767	25.349170793000003	10.096356268500001	18.9843455901	41.7500779637	57.1540992945	5.1077389983999995	10.5109263007	50.0121670567	15.6777793247	66.8266583068	23.9167334576	110.1753614096	16.5669502321	27.0757598474	5.4789082198	43.0826013168	12.669029380000001	26.392959842	30.9104192458	11.2786121889	25.9983512441	16.9037839965	30.2422003242	40.8558242612	84.47920275189999	37.0805252179	53.7642897047	26.6270705362	38.9023525145	2.3344946586	14.8128267402	31.5431861935	44.913158265999996	23.3863527597	24.9955666748	24.213374085999998	49.7237372921	61.1165027277	18.1294957575
K00647	5.5889150311	5.5621145035	1.8176592163	7.2687104628	17.4317077912	10.4500545616	0.3176671778	4.0495860557	0.6757065044	1.2210669848	4.961374404	1.1536583215	83.5059514281	0.0645683251	0.8592913949	1.6459480127	9.6552441462	1.0599194968	0.1315607523	7.6215958017	0.9736279367	18.4509943353	2.2690623944	3.3876738313	6.5767208477	16.897810888	2.7022009363999997	7.7404667013	9.065270068	2.9482306478	0.2036505098	3.3902241650000002	16.3840574401	1.1460655136	1.592323046	0.4379061487	11.0023713384	8.624122545699999	27.6995454248	0.46776941009999995
K00648	44.1488363343	69.657321881	53.0621357135	56.2075444819	118.8459176907	84.1835097617	82.4289403217	32.2476047501	80.2229199625	91.4722962117	96.2984060376	51.8512388763	127.30670019520001	28.0148940851	76.6764182753	65.4016883422	75.6291666889	83.8679992605	80.1906368711	69.48309307859999	93.4407363247	165.361681494	37.2474305243	62.905237901	128.8275790575	85.8303380373	131.7969598093	97.2204406574	36.6995101794	115.8936788029	41.0144581851	51.8367667261	60.750268713	115.9500272712	29.2815859573	82.91050234160001	34.8962824608	125.9337992593	59.0051289931	32.9138108621
K00651	35.8003515872	48.366841051499996	63.593004768	78.8064662499	79.9173294448	57.169642186800004	79.0407751926	144.4800236937	73.2329817017	43.5079379625	96.6809551495	80.1084851226	214.7941597693	194.35653156749999	92.327384066	78.4230965024	64.138853999	76.84768147460001	92.3426311002	29.2740060122	213.4254302869	144.52631611040002	49.6694141228	42.9066214311	107.7652522317	49.9381335515	72.2632509982	103.261189761	67.6002894196	53.7765394527	91.7709905153	25.609738113800002	65.826860242	81.0774082723	70.3306219564	55.3670443085	108.21150505850001	92.5892392653	43.5974205684	138.9357619755
K00652	5.1378194152	9.6853554874	3.8675107166	7.9276179155	20.3368386799	15.9037096707	1.1700758085	7.5572681719	5.9289165259	2.7764844734	13.5192869258	8.1208745117	104.33083763559999	0	2.0681792347999997	2.0730999633000002	11.6773289849	3.6581281156	2.3992306337	25.6742796891	0.8543185282	19.4381331245	11.9703768409	5.5823528996	22.4502242321	11.1148709633	17.554989152	14.6991682395	10.06344914	9.0856282796	0.7258220881	5.9900377594	14.0385180571	7.6394119677	2.8029685	7.9338728369	11.1868521461	14.9983725493	12.4830595499	1.6676212358
K00655	11.6290523846	13.987209010700001	11.9380945651	31.013232006400003	37.9465212447	24.339983004	11.958921637	44.3731639342	38.9262194389	31.9283268954	27.0726333163	32.6893691977	136.23185828820002	18.2168492645	19.121092264	25.4892689421	14.592328247	5.8802086516	37.7146647799	10.7872335336	18.7500517809	16.4681805175	13.3009940155	18.3020725961	12.6917239177	18.8403029423	25.1144244705	33.7730413516	38.6271621153	19.7423167217	54.469720315900005	20.2092532371	30.2857785865	12.15672862	14.2512152494	14.6125183401	49.9053683585	23.423926740400002	16.3301011333	33.1170784007
K00656	33.6200581716	21.1249161519	36.6004219336	65.6856629665	99.2253816506	51.4061160376	10.329568317000001	119.1392480029	47.8269450707	15.4430829377	35.1683161818	49.4960570491	350.8347098187	51.5967094523	19.5109788019	26.5891070865	35.9440752137	38.4998705093	34.558886282399996	34.8196945589	35.009264670499995	57.079737744300004	20.2982898232	27.1854466644	65.5155782901	31.563193454300002	34.8504415247	63.1267420175	76.6126191049	27.6190601926	19.9140043443	36.1684693953	26.600764403	35.6283647829	23.9451781596	11.995720891	67.7291800099	47.4316362609	43.0352521915	35.7002106459
K00657	4.3263423992	3.5966153859	2.0831439223	5.5608966256	13.562865298	10.6603190176	2.9227176472	4.8299597695	1.9511795218999999	1.9015789792	3.0548389821	7.9637064863	72.3551599123	0	5.066721284500001	1.4088993195	6.3307426106	2.8246310554	1.1470195428	4.1073837802	5.4948427075	12.7279188745	3.3709336035	3.1807550511	27.2825375898	6.6368015924999995	4.5304672075	9.6099910078	7.8242721726	2.1716002423	0.2982281127	2.762157253	5.4155361191999996	3.5396170644	3.4466832379	2.3130407974	7.6968758731	8.4125217873	5.7209808667	0.8611274605
K00658	0.9685590671	7.755691903600001	0.6798470245	1.8851536449	12.7896297155	2.2891509814	0.3570628082	1.4879341779	0.6139946924999999	0.2036028565	0.7861008808000001	6.4894438171	35.1082873215	0	0.8081221756	0.5540811741	20.1061406135	0.1258102101	0.087946413	1.3384945912	0.220265884	2.8521405682	1.1437654092	2.5951726391	2.4139443925	1.6186885624	0.8999716937	5.1958401614	2.4807845327	0.8135686318	0.0741904457	2.4492281904	5.2470555432	17.2019621859	0.8964953679000001	0.6006094285	3.6526305582	3.1311400772	6.5307737921	3.2997389866
K00661	19.6137491122	13.8262528989	36.4893194644	43.4971938837	41.8814872245	16.8316139885	21.6058851849	113.1502431143	48.0267439664	6.7905811185	31.8003925899	51.9362299973	168.39829605030002	166.018792434	59.833042549599995	42.5761395078	24.9624003333	18.2028167123	38.7190249878	16.0794963735	123.32396561670001	19.0464912084	9.9141364051	22.0339170357	69.8085747081	14.3696109544	18.0428119856	50.724571488900004	29.4538582827	2.3175289398	71.6484371861	8.8948522298	26.5592493331	30.289928515	53.3070169935	17.347683022	67.8684208331	22.314105952400002	38.0271932558	60.7959918653
K00662	0	0.2372561663	0	0	0	0	0	0	0	0.1252163772	0.0982439918	0	0	0.1770170155	0.1123716312	0	0	0.2222845484	0.0917109544	0.2393171785	0.0643784935	0.2167053888	0	0	0	0.0542954117	0	0	0	0	0.0696358836	0	0	0	0	0	0	0	0	0
K00663	0	0	0	0	0	0	0	0	0	0	0	0.1576395145	0	0	1.6647389697	0	0	0	0	0	0	0.2200264729	0	0	0	0	0	0	0	0	0	0.1015820024	0.5229472334	0	0	0	0	0	0.481398481	0.1011491292
K00666	15.607035747	9.2827743187	4.4617670567	5.3652154329999995	23.765339889699998	16.5319510069	3.4239000430999997	3.6134855134999997	25.5270339531	7.6915111414999995	26.7857685758	16.8493664998	21.4676540583	1.2585261811	6.78419611	0.610683346	26.3706274573	2.2327551214	5.2368882033	23.644983169299998	0.7793663271	0.7863663211	5.907590315899999	19.1746798546	8.2157980875	32.5029529957	29.7237875546	32.665051554	1.6326083175	15.370408957	3.3218447232	13.812217392800001	30.2823487224	28.7064146143	1.7303516355	9.1072964386	3.6637345892	30.8295488696	38.0737264532	3.5479548992999996
K00673	1.1533753968	0.1563974606	1.2101878093	5.0201508015	12.8247710249	10.4087144423	0.0318480831	2.5753587901	0.4169845681	0.7240395273	1.2187210639	1.0820493801	79.1660744001	0	0.8218132702	1.2568262045	1.6599026610999998	0.5350247216	0	0.2225703782	0.704266602	20.2185184644	0.8227234875	3.0923402843	2.5849019298	1.1254041623	1.4239785374	5.2397872141	7.2896091341	0	0	0	2.6817930811	0.3711348239	1.331547303	0	7.2563717013	5.8463144713999995	1.3455649437000001	0.3270640556
K00674	9.4814312326	14.245767768499999	8.0064286927	46.0431403456	5.9601846922	10.136190299699999	6.300422876	86.37279224870001	15.8932812544	5.1435389075	26.6814989937	48.8243191114	67.7401684968	34.8186267738	49.6209223238	44.4153203013	7.3473182465999995	22.0050615241	34.1191036473	12.8986111015	31.9136330034	9.035056453800001	25.067035272800002	12.6390599981	41.3339771114	15.4282512896	14.0046644165	31.121388861899998	27.2225895341	10.263153885300001	69.4126061305	8.2820750534	20.414690815	13.574224449899999	38.5285890829	20.032283444900003	72.6710448042	13.493897228900002	15.3211420609	76.7949683795
K00675	1.2882099539	0.2999496169	1.0918045074	3.2415132823999997	11.2635040078	5.5081175643	0	3.2087666586	0.9648671786	0.6738671234	1.1146897209	1.2810784523	74.4251271597	0.5246856012000001	1.6854431415	0.9518283344	0.9399897292	0.6293821978999999	0.3731919186	0.5942201371	0.9628020881	9.5011641887	2.1281155405	1.0508211786	3.2153238528	1.5985096654	1.7735397514	4.7605459782	3.2669595525	0	0.5703010051999999	0.0794420218	1.1877885981	0.6416377553	1.1067081711	0	6.3921452688	4.2990516301	1.2188019476	0.2038015376
K00677	21.8103004556	14.642112228	5.0710542438	9.3439886267	29.361790010100002	29.4715711432	14.8557075127	30.6511554537	11.7358932923	11.1236639796	30.989078616900002	12.773232952199999	108.0786161172	0.104608716	3.3225591312000002	3.1073120215	18.745536735800002	4.7011562333	9.5336332797	42.508030465	1.1405298639	17.3790127893	33.3447768587	11.8509974534	8.6298426792	25.6425831906	30.43168827	15.746419684	14.3943434008	9.1263671904	1.2871374868999998	6.2234449531	20.5716884858	10.2545512669	5.6015404343	20.367315242	18.3791839276	17.665700637900002	32.5336072981	51.0566103732
K00681	1.9012220823	1.3463700423	1.7853784966	7.134179573	19.505447093300003	10.1676190187	0.3715350405	4.474977925299999	2.7529766748	0.7546044096	2.1361086717999997	2.0868810094	91.62224933030001	0.7566240458	1.5394623017	1.7468950071	1.9229518527	1.6061731876	3.3325024983000002	1.7814358566	1.4590580829	22.6136330808	1.3419401842	2.954706874	2.676349982	1.4780097968	2.7259686464	8.6382773599	10.997541164900001	0.6689759612	0.8954908087	0.6662391501	4.8009055288999996	0.6518851619	2.3840798442	0.7741240969	14.583545228	6.286102552	2.1096985661	24.694203021
K00684	11.001886134400001	6.5126635770000005	1.8393313709	13.8528582645	22.4147708921	35.549783131699996	12.0680851107	18.7329058651	13.260513742499999	7.2166028793	23.6561528654	5.9711533629	91.132224286	0.1025786855	17.5761883265	3.1814208336	14.0083368598	2.3154814977	8.7519306944	21.924351053	2.4491953017	18.5629108753	23.4275140548	4.1213109896	3.5037593300000003	6.1033399584	23.7634627745	31.1892371664	19.2118511527	7.1784612301	0.4972730277	4.004095003	8.443208909500001	16.0529312203	3.2882679277999998	9.841096645999999	19.0234491572	22.3921247657	11.4519214037	2.279505344
K00687	0.2660020821	0	0.2604127009	0.7000258384	0.1588198284	0.3938365302	0.100653393	0.5580624252999999	0.3430529878	0.0606267812	0.4093985945	0.3136961635	0.15136634	10.3384804592	5.8581586877000005	0.6119818313000001	0.4880928472	1.4663960873	2.7364895949	1.5755347664	1.7099585347000001	2.5529658713	0.0978251758	0.6975659144	22.6225450253	0.3669556082	0.6981853397	0.2464013174	1.2680808209	6.8514437162	0	1.1961318949	0	0	6.932922712200001	0.5382744252	1.9512124205	0.2027676862	0.0730063187	3.9300113988
K00688	16.1824847259	19.0079396529	18.8770170048	55.2557940559	50.952977571299996	31.2741414445	19.0759744502	100.3929155946	30.568970086	12.9590674185	34.6597280381	41.4240453006	230.371262949	83.5185076146	59.5209153538	52.6450633652	16.9939757161	27.0875245945	30.9068517738	17.1903931417	87.9236141961	45.7406205212	25.9004390598	20.491680788	43.2165171781	22.2370129866	21.4915588697	53.3138643222	37.3133661356	16.645989897	76.8286463664	9.9933217805	31.430184590899998	22.100629368299998	56.864089400299996	23.9868846538	74.4742174636	30.4050003718	23.8459976216	105.16350775320001
K00689	0	0	0	0	0	0	0	0	0.1404051054	0	0	0	0	0	0	0	0	0	0.1130429178	0	0	0	0	0	0	0	0	0	1.6896773655	0	0	0	0	0	0	0	0	0	0	0.2606071624
K00690	31.4105032253	31.1062170452	65.6069792211	68.3214094001	49.466894567800004	25.2131739489	86.3052656991	116.8245562193	43.1330082714	37.0293344256	47.4473491033	56.8551921276	73.2197981999	195.3510561976	57.057205253	76.2064458911	32.7248279015	81.7435004184	78.0594897645	5.3815677717	219.8518545934	133.950677305	29.754042841100002	41.562154536499996	48.2655134118	35.1689183674	37.9611408601	46.5912672972	43.0691736823	16.6933434335	85.6366804278	34.7428740557	32.3454295515	64.2645797629	59.583820971099996	33.4102677965	59.534904561	63.5800575965	22.6574188845	78.9374521064
K00691	2.0654580413	3.3559163518	0.4892553907	1.0707838884	0.8729709176	2.9079824065	0.353944635	0.2536028761	1.2241171544	0	1.7574779027999998	4.4687026159	0.6139862835	0	6.6338911961	0.0523776648	2.1142329527	0.1560934862	1.1626007431	0.4794179186	4.2517527612	4.3868507274	1.6742220557	1.5256443175999999	2.2278048027	3.0890435395	1.7079438502	0.4243569656	0.41648292	0.600357032	0	1.0964691811	2.0893991654	2.878916806	0	1.3539702589	0.0289573997	1.7380583441	7.279885216599999	2.4202326036
K00692	0	0.0420611824	0	0.0192531298	0.0693130147	0.0322714838	0	0	0	0	0	0	0	0.0261892261	0.0813670443	0	0	0	0	0	0.0463913546	0	0	0	0	0	0	0	0.0623584317	0	0	0	0	0	0	0	0	0	0	0
K00694	0.3163809379	0.2075717228	0.9553696857	2.1200938895	12.4063993107	2.2539035037	0.0328605675	3.4642225021	0.0854709838	0.3200093427	1.0982393883	0.6698781565999999	64.6616267956	0.0364863684	0.7037845823	1.2901387571	0	0.4149529737	0.1033370353	0.5548805378	0.4814147212	8.4580263193	0.5999050457	0.4403861271	1.2544684812	1.1326788824	2.0122284821	1.8149194891	5.7946851585	0	0	0	0.0343200294	0.313240784	1.0976349564	0.1027845835	9.0101922848	2.5909024575	0.9987119903	0.0820932339
K00697	0.9931386922000001	0.2714893223	1.2231776074	4.62007848	12.5933082817	8.6778632746	0.0352879246	2.4416071867	0.351579801	0.8349111197	1.2074228049	0.6506733523	76.2643353279	0.0483954979	0.3497422538	1.2254747071	1.1828646845	0.4116603413	0	0.2994278021	0.7473590371	12.6242973863	0.5618991289	1.9946752253	1.9972057514000001	0.8524720045	1.8776340723	5.2707929665	6.827444427	0	0	0	1.3737956736999999	0.5463244219	1.6091068452	0	7.4876778571	4.443383801	1.2069986473	0.2648531368
K00700	24.7119284216	21.689715819699998	30.9859338188	56.5443853306	55.4017275093	36.6023035015	32.785915124300004	96.3256668377	71.0524487529	34.8409543335	40.619724314500004	65.4122053714	169.877321096	103.55265701510001	43.7046314245	67.2689484974	23.4856952277	25.914829465	45.6468083398	31.5346530829	90.1638545748	27.3068467693	42.8932002025	34.327070648500005	26.3508103081	28.086739551	34.938535430499996	55.579591143900004	37.2222765091	11.2355376155	79.27233114330001	20.0182031744	52.4521384515	27.7175241121	52.1823455688	21.2988946899	75.2117802595	33.6198591129	24.9791229826	70.2538563064
K00702	16.6525720436	16.2936814668	19.0363468342	20.2131098972	21.118680547900002	7.2913990787	43.7740184198	2.2947074399	3.0923902722000003	31.3139360449	19.106581664900002	0.3630395844	1.2107551932999998	0.4643401144	19.0987877733	41.8505261748	14.3870845465	44.668261311900004	31.7188378328	6.6442867776	35.333139701	90.69917265939999	9.010577236	29.363295433199998	6.2049722796	17.7425536462	32.7097375387	13.3756115964	12.9855395974	24.9469323109	15.2951087897	14.780865089999999	17.7732277076	26.5526142598	1.8757759136	28.3835547633	0.0719205565	31.9065293604	2.4874126263	1.4065900724
K00703	5.3639593071	6.8177746791	2.9401512367	7.7040719947	27.8122694169	25.4174728689	0.7128325958	6.272249877999999	2.3371130528	1.7162150697	8.5072395791	8.1673502065	95.5925351005	2.530592681	9.0456262978	3.3683886085	7.5311889338	4.9261575516	3.3749276613	18.569785722	3.5220360569	14.6965964825	5.1572637456	5.0846107651	7.980380537	8.6977790493	12.651400952	11.620165179399999	11.0784121078	7.030778763	1.3248275122	12.4374964972	19.5482365734	2.213701421	7.137175278500001	6.9592795489	15.8520848822	10.1263057931	14.4593658571	6.8188648794
K00705	46.9432391707	25.4835372056	51.7158291144	80.75658884010001	64.7870644866	29.3750065781	45.174229548	228.49313360419998	71.0184316592	19.6962582381	43.7218056628	88.8945106489	203.4378955094	201.9398212479	69.23927199	88.7931847061	32.3424915877	36.0922035582	68.3791418394	9.5312165514	180.5442368376	39.05953712	67.671420966	33.8263077908	38.4074887646	29.696572440500002	16.2973272195	89.3224943443	87.6167679605	9.9307584627	107.2562041724	25.7876563622	34.4751341024	45.048619321400004	60.391359482999995	24.8922285345	116.6059619134	39.9949716743	40.405156013799996	174.4378789037
K00709	0.2715697402	0	0.2892903877	0.0666635367	2.9003900125	0.2135944774	0	0.1592333136	0	0.3741246235	7.7623684154	0.6325932773	1.9287402126	0	0	0	0.6045906277	0	0	0	0.0631836037	0	0.1682230562	0.7058709966	0	2.4166946848	0	1.3443344977	0.230332306	1.0559141336	0	0	0.5532416025	0	0	1.6558183604	1.2626083428	7.9015441227	1.2320620531	0
K00712	0	0	0	0	0	0	0	0	0	0	0	0.1042312369	0	0	2.2341009424	0	0	0	0	0	0.0691017549	0	0.9219369683	0	0	0	0	0	1.2344529121	0	0	0	0	0	0	0	0.1154298663	0	0.4013542231	1.5749333409
K00720	0	0	0	0	0	0.0392653765	0	0	0	0	0	0	0	0	0.0563530553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00721	1.0246196875	1.0543287659	0.41549975699999997	0.4142153682	1.1956501093999998	0.4675615939	0.4833760105	0.1966617443	0.1995819296	0	3.6993108243000004	2.4189676115	0.5693304251	0.069720498	0.0789511041	0	4.8620800914	0	0	2.3712677846	0	0.0999992593	1.2592794581	1.6421864070999999	2.0824433968	2.7843265751	3.5404943392	1.2120663603	0.1244568678	0.9780832479	0.0610100194	2.0382977632	3.8804576143	2.1188350488000003	0.5338239414	0.4673223041	0	0.6658136061	10.9869259398	0.1405261108
K00728	0	0	0	0.0258013589	0	0	0	0.106465467	0	0	0	0	0.8947348093	0	0	0	0	0	0	0.0897104429	0	0	0.066907735	0	0.7961216768	0	0	0.2980459769	0	0	0.8895890215	0	0.1137949705	0	0.1905446599	0.0676899486	0	0.1841243253	0.0973690097	0.0472320126
K00737	0	0.0612881409	0.090120131	0	0	0.2341754667	0	0	0	0	0	0.1839184683	0	0	0	0	0	0	0	0	0	0	0	0.3045232934	0	0.1289218174	0	0	0	0	0	0	0	0	0	0	0	0.1358547164	0	0
K00748	10.693572749	12.3722782814	2.9636202154999998	13.1655898759	26.481508324500002	33.3428861138	11.5961776194	7.433459131799999	13.687281889200001	6.7411032719	26.7700365643	9.6494457112	101.0093638368	0.0784090356	15.5613412623	2.7833201664000002	27.013291046699997	3.5368274716	9.3135990001	18.9362297254	2.7241975872	11.730169304299999	26.5258823396	7.6393534594000005	4.8598299316	9.6603874558	29.9993812961	33.0699154248	18.8076348405	16.9101862036	0.8409012641	6.0568824258	13.4582984089	24.758927785199997	3.6363576642	13.233088713099999	22.112088004100002	22.1977068247	19.5302997482	4.225821811
K00754	0	0	0	0	0	0.094113476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339262294
K00756	14.9974089158	13.8691187324	90.733985197	24.5484807421	52.129360147899995	20.624544186700003	4.3344350373	20.3471885573	33.6975407735	39.8075352902	17.2712533547	1.9953727560999999	2.254647352	1.9642437822	11.4999484756	21.271721936899997	31.2437031608	26.1094699044	40.478987998700006	17.9695395017	17.1369947333	3.6617992503	5.8628864452	33.2458385558	7.4806180742	11.4970875149	45.3894195161	30.7077666174	2.6206366022	28.8769139092	27.250845580700002	34.3286035229	20.0188930065	40.5387502322	54.2423014677	55.9874715941	32.704113857100005	16.5394122193	14.419797149699999	50.357540458699994
K00757	14.5311662357	17.3013637939	6.3084584843	11.690837506000001	49.0972446895	38.2604768673	2.9089997383	8.3792552588	22.7868321363	11.477735578599999	26.3731228842	21.5871117597	108.8785965046	0.19223769229999998	6.5972575434	3.1319315076	31.1212965054	5.325486544	10.4458086119	31.6760612789	4.4662923817	22.8402692079	10.4569741074	21.5806528698	33.0596624945	31.815351021599998	38.2896965888	25.9817925014	19.7825411026	21.0498893311	2.4749389979	13.1875544766	31.8359568919	17.6230122353	5.8918281251	17.9508523154	15.4542064122	34.5482632206	31.9341063377	4.2209990658
K00758	1.1813655233	0.3595689561	1.5726322417	6.4882427885	16.7488493068	10.910760368	0	4.2360169153	0.3821259166	0.5756942421	1.6263877413	1.4796735474	88.75924399590001	0	1.1625709174	1.9071058688	1.1102547224	0.7966372517	0	0.5039293693	1.3741410038000001	19.3843911655	1.1400075001	2.6350228227	2.9644769984000003	1.1030200755	2.2144406309	7.5718650619	9.3432899339	0	0	0	2.5642761236	0.3024970105	2.3093341927	0.226547995	11.4032623269	6.818474924899999	1.9366228498	0.4680747866
