# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
K00603	1.7094110594999998	12.914848436	1.1659616448	9.779015036599999	12.5710496179	25.7714757549	2.1223697024	3.1232115043	15.1720671229	5.469392943	24.8384483144	6.1304796208	14.3067998035	0.206109693	15.264386419500001	2.1825185854	27.0926292917	2.4466362925	9.0508989557	8.909730616700001	4.3902185709	1.8439202254	5.1373105416	3.8580239107	28.8936511638	9.5777421813	22.2764976033	28.5635552032	16.1965595573	16.0923104283	0	4.3209306298	10.2973591237	23.09576083	2.1814920681	12.3299732076	10.7122722402	20.7391316173	17.7359937542	4.9801751719
K00604	55.7434098046	47.8453176843	67.398830943	73.7927541556	79.3885881023	64.6868547387	101.007349304	136.4765732653	97.1011038621	74.8577510967	74.2868983982	68.1335295296	184.25644215789998	189.9119523874	114.4583547779	105.7266859684	65.6420832235	88.06757370449999	103.4518602497	60.4504083759	217.2970175491	165.3331917701	59.751189014	57.1492500039	110.8586110924	54.2858598101	77.6160487527	102.96392616440001	82.7548706613	68.6533916581	99.69346166060001	38.2377426387	66.2509223438	90.4520962805	75.3475401018	67.749146116	126.8588763003	80.7393279534	36.5715505872	137.8950717785
K00605	19.270554323	29.995343019499998	7.9733100144	19.6530176763	61.5445940846	50.28067607	16.2670815771	29.1916197415	31.9195395747	8.8143545137	49.0661710202	41.4021466751	117.9383203813	0.8117097603	15.8882016659	4.5061510754	37.3226392414	7.3503945256000005	13.8201335838	46.587192518100004	2.8081885662	22.5842672531	33.360663981	18.7989452877	43.2759189939	31.2599535671	53.0460796493	46.1105616603	20.6972321187	31.747695767099998	2.3049390732	10.0665666987	36.4143440686	28.6053870867	4.9121088921	19.2131738548	23.2757679011	53.7366893383	33.5064507283	7.4835281334
K00606	46.0475227245	56.496296893200004	37.0876956216	37.2886295227	63.8819008331	55.1557513945	77.3634825185	25.142900123	53.4216091829	60.0609284221	74.6171147275	37.076737779	100.2869586133	31.716696569899998	70.7096757446	35.6455107202	63.571736947	66.7963562252	57.4801094807	48.8706057533	80.8986650808	138.10781589180002	55.9736127428	48.6003053141	55.9068113619	70.7898754792	82.8865474563	76.8784739254	36.6515231343	56.2144923236	28.4122335766	42.0496274907	44.450586201	90.6196509597	23.0687530103	61.4434278347	33.9512067221	93.6161502615	53.777637426700004	20.659431968099998
K00609	47.3673523163	62.4803680999	39.5757978725	61.8490848551	71.4384545606	64.1028390962	40.333423124	127.1959597423	89.0591268708	16.8479614544	98.0635016714	106.6040874206	103.9960356959	152.8336804783	57.7730580764	42.1918671319	62.811068688700004	43.0721345312	62.1291459898	67.35589290600001	109.6095920741	26.096831634	70.61661132329999	52.8948454027	106.8279998505	107.6188231837	56.1066396367	91.7421914919	56.977897246	42.2725089233	65.6653085813	30.5977593012	79.1681512549	69.1566446628	79.7963121164	37.6797748882	66.9775461273	80.3443475466	90.878566662	71.408969558
K00610	21.4250424359	27.6933717513	46.3276942264	51.8379357134	60.071364931299996	54.227657163800004	27.8028601551	96.4820998979	53.9454586158	39.3249025438	60.472995503	51.5535027208	206.0251838171	143.77609555360002	49.309283782	35.6542806709	44.839582983300005	17.7032240435	49.39374058	16.931209912099998	112.5835267734	35.8238846749	21.6502165341	26.4969647202	32.1255237239	25.4180358423	51.326402995	76.855434195	59.3599028107	23.480272733299998	67.3095822606	30.9918144515	43.9567109693	42.9032571344	44.8822490155	25.2726004012	81.3190242297	47.2124283933	33.8827129425	75.6322313878
K00611	37.2996436742	30.0020721435	36.3921628143	38.793403422299995	27.5748714962	18.0268883924	77.7153288516	63.1732702308	16.347428726900002	34.5120937405	33.6540734116	13.2092175113	105.90921815200001	31.6557116145	70.925038216	68.8740270882	22.4973621428	82.36914749360001	42.3503718145	23.4754777721	110.7287570874	175.4936180906	54.6969837456	27.665947936	45.823382755299995	31.2380223776	34.7309912816	33.1584300217	24.386910934	22.502826683400002	24.678975486	16.653385802	7.6866626411	45.1671272161	15.4197771315	34.2425748942	40.5097687648	52.3982829017	7.562427969300001	91.41826768279999
K00613	1.0494304746999998	0.6060493931000001	1.0929107811	0.8335602531	0.7542080352	0.2814005518	2.4846612243	3.2499944452	5.3663309184	3.5855327816	0.7123074747	1.4198856	1.1856306103	4.2736844843	1.7615965098	1.6097563748	1.3162971288	1.0894548183	1.1579759539	1.4561106105	1.7375823507000001	0.2926980737	2.8798828752	0.5978509354	12.8584258378	1.0249942276	0.6646762426	4.5826906201	0.456652991	1.3726199488	2.2894659281	1.5421230351000002	0.611280544	0.9096954536	2.1559968368	2.6137894253	2.6102627883	0.3768027599	0.4250914586	1.4101374893
K00615	22.0496550732	42.8044927657	25.7280262799	50.7388902735	80.0810316402	109.4378870191	22.010501903799998	67.6511108336	74.0271255262	22.2319984105	115.12719025199999	63.3906128065	180.9997775579	84.58988972190001	77.1055978927	34.0613869565	74.3135106425	24.5918201567	57.5163434519	52.779635970099996	69.6516634247	42.7685197502	41.6441851269	39.0142541158	55.6814182751	54.856324625	76.8514905479	104.9858072627	54.3350979977	60.4482124098	48.290194055	29.9573220043	94.0941629769	70.8738588757	58.532750707199995	38.2982045366	89.89080281449999	78.2894282524	56.957987057299995	141.6264544986
K00616	57.8701395513	57.2133268111	49.2004295533	85.3937582805	76.0430056531	86.7441892436	128.1167140996	82.173389005	50.1052227156	60.4650162228	96.4323296497	55.2793846196	277.5533989233	21.240984913600002	68.3843656903	92.9304020894	77.3070822654	154.88099044819998	106.3544295947	48.388316524000004	107.4951427357	310.2189196303	56.8924155047	61.0419374408	61.887745135799996	109.9180027714	122.1865238597	112.0420037462	59.1024241993	62.938058620199996	73.1571667677	39.9974322834	80.2506749933	115.5057312998	38.9286773085	71.5560236445	73.9068522065	122.9804643668	62.2747119315	72.43568677489999
