"","Feature","P","FDR","FC","NPC association"
"K02881","K02881",0.0147313438946675,0.992143520681656,0.954647466527957,"enriched"
"K03527","K03527",0.0150379929301314,0.992143520681656,0.965671972322757,"enriched"
"K01881","K01881",0.0154786020893707,0.992143520681656,0.968004959427876,"enriched"
"K08681","K08681",0.0158522307655286,0.992143520681656,0.945895168989445,"enriched"
"K02876","K02876",0.0162573321458034,0.992143520681656,0.951873708424294,"enriched"
"K20461","K20461",0.016330693455181,0.992143520681656,1.04152136278673,"depleted"
"K11381","K11381",0.0164772783305627,0.992143520681656,1.01825818714084,"depleted"
"K01814","K01814",0.0172189999573682,0.992143520681656,0.959873059369696,"enriched"
"K00864","K00864",0.0173303225440621,0.992143520681656,0.960299760901025,"enriched"
"K02004","K02004",0.0175202824504627,0.992143520681656,0.929380946322325,"enriched"
"K06183","K06183",0.0176358007236806,0.992143520681656,0.976696498430257,"enriched"
"K03790","K03790",0.0181929685059652,0.992143520681656,0.953881425315815,"enriched"
"K02887","K02887",0.0182130765224312,0.992143520681656,0.963543684063739,"enriched"
"K00265","K00265",0.018213172338644,0.992143520681656,1.02296824843987,"depleted"
"K03816","K03816",0.0183937817185869,0.992143520681656,0.963299591675173,"enriched"
"K15581","K15581",0.0184111559887477,0.992143520681656,0.955997974381906,"enriched"
"K04794","K04794",0.0185417312451952,0.992143520681656,1.04663176123451,"depleted"
"K02863","K02863",0.0185647271949953,0.992143520681656,0.961029671450116,"enriched"
"K02904","K02904",0.0192826862594658,0.992143520681656,0.946256994187484,"enriched"
"K00031","K00031",0.019334079802984,0.992143520681656,0.961767314343416,"enriched"
"K02528","K02528",0.0195794411224813,0.992143520681656,0.963656951551431,"enriched"
"K01990","K01990",0.0197582352361045,0.992143520681656,0.953022649106288,"enriched"
"K10194","K10194",0.020484260491069,0.992143520681656,1.04352426117149,"depleted"
"K04083","K04083",0.0208498305698654,0.992143520681656,0.960754516062014,"enriched"
"K02965","K02965",0.0209424373038736,0.992143520681656,0.966833165817156,"enriched"
"K00954","K00954",0.0213103452522875,0.992143520681656,0.963027898884577,"enriched"
"K01515","K01515",0.0215554331109373,0.992143520681656,0.960167016197806,"enriched"
"K01091","K01091",0.02227901155481,0.992143520681656,0.96981515876087,"enriched"
"K01810","K01810",0.0223772449091418,0.992143520681656,0.971616979558201,"enriched"
"K01693","K01693",0.0228001304365516,0.992143520681656,0.951537249676538,"enriched"
"K22227","K22227",0.0229758840266016,0.992143520681656,1.02164199035703,"depleted"
"K01198","K01198",0.0233492113665301,0.992143520681656,1.0231822807415,"depleted"
"K06896","K06896",0.0240769979301192,0.992143520681656,1.01793560553163,"depleted"
"K00991","K00991",0.0247121587975875,0.992143520681656,0.95939307731292,"enriched"
"K10536","K10536",0.024990024710352,0.992143520681656,0.953307247094245,"enriched"
"K05340","K05340",0.0256430311245866,0.992143520681656,1.02500158589342,"depleted"
"K03621","K03621",0.0262128681790887,0.992143520681656,0.965188703391131,"enriched"
"K02358","K02358",0.0262493981110291,0.992143520681656,0.973467621929245,"enriched"
"K07350","K07350",0.0264395518686623,0.992143520681656,1.00841046132027,"depleted"
"K03402","K03402",0.0265139327957573,0.992143520681656,0.963516547979278,"enriched"
"K02907","K02907",0.0268213233975696,0.992143520681656,0.942346597902887,"enriched"
"K11072","K11072",0.0274657964288931,0.992143520681656,0.964284053637881,"enriched"
"K22010","K22010",0.0276112698127017,0.992143520681656,0.957917803297079,"enriched"
