"","Variable","Feature","N1","N2","Mean1","Mean2","Beta","SE","P","FDR","FC","FC_lower","FC_upper"
"K08276","Group","K08276",14,18,0.0276867176725,0.0519247862575,0.00148060899462576,0.00708685296744245,0.835624014739579,0.99979701592855,1.00102680675561,0.991435193664144,1.01071121364971
"K01460","Group","K01460",17,19,0.0295330051965,0.053262502357,0.00137085423093405,0.00658122599222176,0.836108985549873,0.99979701592855,1.00095065533173,0.992040999502684,1.00994032999773
"K02195","Group","K02195",20,20,0.03834619973,0.070436574425,-0.00162849758644888,0.00781915911387436,0.836130327514503,0.99979701592855,0.998871848331513,0.988317129388657,1.00953928624751
"K02647","Group","K02647",20,20,0.1209500470715,0.14199863181,0.00159917478750002,0.00769641591729319,0.836508974293648,0.99979701592855,1.00110907806789,0.990695908884159,1.01163169969963
"K00563","Group","K00563",20,20,0.133321450922,0.1686144573175,-0.00331617370133601,0.0159659142847053,0.83656976870132,0.99979701592855,0.997704043298534,0.976296073812595,1.01958144123943
"K02440","Group","K02440",20,20,0.406551560542,0.471424381068,-0.00686350783788703,0.0331134760482372,0.836903936674265,0.99979701592855,0.995253877496704,0.95147264145621,1.04104967133499
"K14977","Group","K14977",16,20,0.018094115453,0.047348718015,-0.00136907709108696,0.00661634334537786,0.837174414150704,0.99979701592855,0.999051478205803,0.990111488639034,1.00807218940278
"K07112","Group","K07112",20,20,0.1227079859795,0.1725989480165,-0.0034789090282331,0.0168219358846653,0.837264084992119,0.99979701592855,0.997591509095384,0.975051345083097,1.02065273181526
"K07400","Group","K07400",17,18,0.043174859009,0.06944792271,0.00194750462213907,0.0094227472345513,0.837362333903519,0.99979701592855,1.00135081887299,0.988613779318371,1.01425195909059
"K07262","Group","K07262",16,17,0.024637769486,0.0479521739455,0.00122306469102324,0.00592148929470807,0.83746654912165,0.99979701592855,1.00084812329556,0.992828851444997,1.00893216836552
"K08279","Group","K08279",16,18,0.03320280342,0.0578115666875,0.00154620720275825,0.00748770376101706,0.837503221354972,0.99979701592855,1.00107232369152,0.990940477911406,1.01130776227181
"K01548","Group","K01548",20,20,0.1492423085145,0.1729511812125,0.0030924097011647,0.015025878449962,0.838041408782471,0.99979701592855,1.00214579399333,0.98189569842105,1.02281351678544
"K01607","Group","K01607",20,20,0.2514687538175,0.267941966511,0.00361406292048315,0.0175753445915426,0.838175620664974,0.99979701592855,1.00250821785211,0.97885453620044,1.02673348254802
"K06282","Group","K06282",20,20,0.0732076694955,0.1117736821905,0.00329164539590986,0.0160302100427133,0.838402443354971,0.99979701592855,1.00228419954349,0.980692285172812,1.0243515033643
"K10014","Group","K10014",15,18,0.0305441829325,0.054783458036,0.00143151469404227,0.006971856581942,0.83841214921564,0.99979701592855,1.00099274281737,0.991556355328008,1.01051893398594
"K08317","Group","K08317",18,18,0.0326975305135,0.0563956899615,0.00131641020606471,0.00641153786029842,0.838418873602817,0.99979701592855,1.00091288244656,0.992232278707755,1.00966942896902
"K13896","Group","K13896",16,18,0.025305974788,0.0485554454615,0.00121474860358945,0.00592096782965777,0.838541798681479,0.99979701592855,1.00084235415082,0.992823831887189,1.00892563785271
"K16711","Group","K16711",15,17,0.0219932569785,0.045030083598,0.00116275941044717,0.00566949281511318,0.83859604428445,0.99979701592855,1.0008062882828,0.993127295011814,1.00854465655833
"K09124","Group","K09124",19,16,0.0386834947025,0.066870592319,-0.00313031066340696,0.0152721426168415,0.838690598676807,0.99979701592855,0.997832586230075,0.977342605480344,1.01875213928001
"K08277","Group","K08277",15,17,0.0382626330325,0.0644954661195,0.00183921158380731,0.00897942146203731,0.838801911637374,0.99979701592855,1.00127565728322,0.989135139042551,1.01356518669268
"K15829","Group","K15829",16,17,0.036908963719,0.0614005963135,0.00159123220717242,0.00777133349172073,0.838855073792001,0.99979701592855,1.00110356660001,0.990589626752653,1.01172909951086
"K03697","Group","K03697",20,20,0.025473080727,0.0393721848645,0.00253464649416004,0.0123908612882047,0.839009394647518,0.99979701592855,1.00175842729441,0.985036137722936,1.01876459981983
"K13069","Group","K13069",17,19,0.0627203235625,0.1294624207685,-0.00407124164108818,0.0199062079965232,0.839037734190268,0.99979701592855,0.997182008348672,0.970575663215935,1.02451771197261
"K10831","Group","K10831",17,20,0.0377090020915,0.061895024003,0.00159525298363014,0.00780020047289457,0.839043046921104,0.99979701592855,1.00110635666939,0.990553539456551,1.01177159784186
"K03445","Group","K03445",17,17,0.033238500829,0.0571201117915,0.00140609743237055,0.00687599643063262,0.839059131782812,0.99979701592855,1.00097510757941,0.991668025413631,1.01036953931804
"K03973","Group","K03973",16,17,0.029000401921,0.064975265041,-0.00195135220611133,0.00954872942268473,0.839164927509119,0.99979701592855,0.998648340036372,0.985776940112256,1.01168780327103
"K06163","Group","K06163",16,19,0.037425392397,0.062924027496,0.0017084278678446,0.0083735821698495,0.839422004862407,0.99979701592855,1.00118489339193,0.989859868551626,1.01263948827716
"K00886","Group","K00886",18,19,0.0995823268965,0.1308225943995,-0.00289435377844079,0.0141870516337159,0.839431443965314,0.99979701592855,0.997995797939431,0.97894453358848,1.01741781942821
"K01529","Group","K01529",16,17,0.033187549833,0.0667659495155,-0.00187761900282758,0.00921390228178724,0.839611985472864,0.99979701592855,0.998699380222025,0.986275863110617,1.01127938882145
"K06918","Group","K06918",16,18,0.023325561455,0.046347346403,0.00114823838693231,0.0056356557294992,0.839639750127059,0.99979701592855,1.00079621501153,0.993162953680187,1.00848814413584
"K03498","Group","K03498",20,20,0.40519669796,0.44083707773,-0.00379068013699532,0.0186082531451386,0.83966744069316,0.99979701592855,0.997375949605507,0.972477747667992,1.02291161647341
"K16210","Group","K16210",14,13,0.0243034681295,0.049989536774,-0.002506362552748,0.0123158963638873,0.839825207492999,0.99979701592855,0.998264230057254,0.981700245051,1.01510769507858
"K02335","Group","K02335",20,20,0.46272288988,0.531810729305,-0.00470594203732278,0.0231282448324135,0.839852102464604,0.99979701592855,0.996743403795087,0.965911354275266,1.0285596174138
"K03815","Group","K03815",14,18,0.013896120603,0.0422044457895,-0.00126312254898452,0.00622084840964011,0.840181898725397,0.99979701592855,0.999124853330882,0.990716382984103,1.00760468857562
"K19222","Group","K19222",18,17,0.0277506535605,0.052238845415,0.00143755430134386,0.00708876332225821,0.8403784706667,0.99979701592855,1.00099693331887,0.991403033428895,1.01068367427549
"K03708","Group","K03708",17,19,0.0274019717945,0.0537731136445,-0.0027742523175597,0.0137020231044732,0.840629250759293,0.99979701592855,0.998078882540896,0.979671368530217,1.01683226413834
"K16511","Group","K16511",20,20,0.0735568282105,0.0869253561515,0.00290924845107577,0.0143696826472649,0.84063924734728,0.99979701592855,1.00201857194025,0.982646673414121,1.02177236811347
"K03746","Group","K03746",16,17,0.0277125079805,0.0581719683065,-0.00145040581013779,0.00717109376948517,0.840794580985252,0.99979701592855,0.998995160491705,0.989309784261404,1.0087753568827
"K13694","Group","K13694",20,19,0.0623134906065,0.0943863620115,-0.00185656968328807,0.00918805077497419,0.84094498450564,0.99979701592855,0.998713951628415,0.986324893402996,1.01125862669443
"K19304","Group","K19304",17,18,0.0278469919125,0.0511389762705,0.00121181713057944,0.00600314105287474,0.84109996464867,0.99979701592855,1.00084032049902,0.992710984122553,1.00903622822502
"K06117","Group","K06117",13,13,0.040670748459,0.0532945801405,0.0028334460835063,0.0140420807375322,0.841163113428664,0.99979701592855,1.00196592506579,0.983032464898555,1.02126404858515
"K02122","Group","K02122",20,20,0.265903076167,0.272131001159,0.00535637842547267,0.0265530272918429,0.841208651743369,0.99979701592855,1.00371965942958,0.968156678196958,1.04058896396981
"K06176","Group","K06176",18,18,0.0378098559555,0.0624988592155,0.0015711215764002,0.00779969487828443,0.841433865131109,0.99979701592855,1.00108961168695,0.990537651370681,1.01175397950874
"K02610","Group","K02610",16,19,0.0287324785645,0.052577931077,0.00142975135368306,0.00710409201176904,0.841570722922603,0.99979701592855,1.00099151935034,0.991377025634495,1.01069925558342
"K00605","Group","K00605",20,20,0.272057289876,0.2943485169655,0.00428570596424559,0.0213073458225349,0.841663849423443,0.99979701592855,1.00297504168464,0.974357632776873,1.0324329593184
"K09024","Group","K09024",16,18,0.0315045600625,0.0559426553815,0.00142316656760276,0.00708286893321695,0.841824313403353,0.99979701592855,1.00098695060934,0.991401085436915,1.01066550159021
"K11738","Group","K11738",16,17,0.0232207955485,0.0464137559865,0.00116222713285485,0.00578621707472677,0.841878272695837,0.99979701592855,1.00080591903868,0.992969453105202,1.00870422997467
"K01821","Group","K01821",20,20,0.1394118486225,0.16812493059,0.00347482944955153,0.0173009993049326,0.841890475222521,0.99979701592855,1.00241147116652,0.979124940574961,1.0262518253658
"K07668","Group","K07668",15,18,0.0133252141255,0.027665487589,0.00226429500760941,0.0112762551225163,0.841924291893051,0.99979701592855,1.00157072199405,0.986344025478816,1.01703248080071
"K10004","Group","K10004",17,19,0.035176713683,0.0593683192775,0.00143257624584144,0.00713582787143232,0.841958297798261,0.99979701592855,1.00099347935975,0.99133622409985,1.01074481226645
"K05818","Group","K05818",16,17,0.0324794438005,0.056323138136,0.00138177106373856,0.00689316987551135,0.842193673364828,0.99979701592855,1.00095822952585,0.99162816804751,1.01037607597238
"K07147","Group","K07147",16,17,0.0315706678725,0.0555189944265,0.00137195052183854,0.00684769932060055,0.842273700225368,0.99979701592855,1.00095141594536,0.991682677146052,1.01030678479369
"K03618","Group","K03618",15,18,0.026375508239,0.0503897295655,0.00131724574065059,0.00658392213948185,0.842492658512413,0.99979701592855,1.00091346212387,0.992000503752811,1.00990650193301
"K03757","Group","K03757",17,17,0.0219369748055,0.0526502640785,-0.00144544877021739,0.00724402851498534,0.842906947822226,0.99979701592855,0.99899859300326,0.989215160427884,1.00887878466279
"K13052","Group","K13052",19,20,0.0332412697265,0.0603927669365,-0.00279523845211645,0.0140301631864997,0.843144564483646,0.99979701592855,0.99806436411199,0.979220483299208,1.01727087198389
"K09914","Group","K09914",17,18,0.0306156518735,0.055474633865,0.00146776016480053,0.00736717197874419,0.84314522397978,0.99979701592855,1.00101789152026,0.991048868286955,1.01108719378865
"K07343","Group","K07343",19,19,0.0303765798205,0.053777112388,0.00120495155341395,0.00605783812891804,0.843395281049629,0.99979701592855,1.00083555765593,0.99263249497915,1.00910641001078
"K06214","Group","K06214",16,18,0.024127827414,0.047243848962,0.00112938679446036,0.00567821340553614,0.843402725475478,0.99979701592855,1.00078313776471,0.993092556370331,1.00853327558393
"K09765","Group","K09765",20,20,0.321529762724,0.359055390798,-0.00420967739028924,0.0211941127420999,0.843615104285069,0.99979701592855,0.997086326994306,0.96878595959865,1.02621341032943
"K01772","Group","K01772",19,20,0.0377559868555,0.061502604226,0.0013072673153632,0.00658331514248802,0.843655533625904,0.99979701592855,1.00090653931248,0.991994460632738,1.00989868411108
"K01584","Group","K01584",15,20,0.033263611098,0.057886771414,0.00146430829990157,0.0073757427328302,0.843688558774316,0.99979701592855,1.00101549643725,0.99103495742138,1.01109654770882
"K07686","Group","K07686",16,17,0.0493857788705,0.0772632723595,0.00212579497746149,0.0107258122647104,0.843949547902764,0.99979701592855,1.00147457491309,0.986987147314366,1.0161746552895
"K05365","Group","K05365",17,20,0.0304448742305,0.0546485662705,0.00136138307435309,0.00687540880887575,0.844094610167739,0.99979701592855,1.00094408420686,0.991638082145439,1.01033741820513
"K08311","Group","K08311",19,19,0.0381290380125,0.0704587234645,-0.00168791479291553,0.00852529415083785,0.844109016135887,0.99979701592855,0.998830710772281,0.987328795143836,1.01046661830269
"K19784","Group","K19784",17,18,0.046235863099,0.0722744455035,0.00174932584603111,0.00884512982056877,0.844277031890573,0.99979701592855,1.00121327570223,0.989253981217833,1.01331714855304
"K12152","Group","K12152",17,17,0.0316313829085,0.0559806536575,0.00138761348996171,0.00701816678751566,0.844320073568741,0.99979701592855,1.00096228307583,0.991463802243561,1.0105517618224
"K16925","Group","K16925",19,20,0.2699866443045,0.2760242380475,0.00632489176510803,0.0319898014700941,0.844321231942564,0.99979701592855,1.00439370503617,0.961677373767984,1.04900743454497
"K16787","Group","K16787",20,20,0.529827870095,0.5485825345,-0.00760890727362678,0.0385461114767629,0.844568570880659,0.99979701592855,0.994739790984111,0.943988189094328,1.04821994935811
"K14053","Group","K14053",13,17,0.0211978254835,0.044436096169,0.00125185688426695,0.00634392405609697,0.844619773842138,0.99979701592855,1.00086809764864,0.992279026877874,1.00953151458082
"K06147","Group","K06147",20,20,1.10696529651,1.214713577895,-0.00693320260031593,0.0351365422769722,0.844627482786692,0.99979701592855,0.995205799209078,0.948815296947086,1.04386447601151
"K03071","Group","K03071",18,18,0.05097678415,0.078895337746,0.00209722265052387,0.0106421520221409,0.844824977994522,0.99979701592855,1.00145474107793,0.987079783701939,1.01603904262546
"K03476","Group","K03476",20,19,0.0404235321285,0.0659813605205,0.00164393003670513,0.00835617583605142,0.845085438131967,0.99979701592855,1.00114013493021,0.989839023516584,1.0125702724947
"K19810","Group","K19810",17,19,0.036811988545,0.061659714922,0.00148799767976016,0.00757673213709156,0.845351137742347,0.99979701592855,1.00103193347374,0.99078065318082,1.01138928037919
"K00795","Group","K00795",17,19,0.03069111732,0.0550469809435,0.00137535773638318,0.00700777941194596,0.84545128524762,0.99979701592855,1.00095377989627,0.991469371231999,1.01052891653492
"K07470","Group","K07470",17,17,0.0291726823405,0.052929851252,0.00128599537296383,0.00656918267725502,0.845839652536666,0.99979701592855,1.00089178146783,0.99199888031005,1.0098644041783
"K03183","Group","K03183",20,20,0.225822001167,0.2531287897895,0.00359915891309465,0.0184064303851206,0.846013542221008,0.99979701592855,1.00249786132333,0.977739847254422,1.02788278986479
"K02339","Group","K02339",16,19,0.040256043434,0.067034753268,0.00183313188754898,0.00937495581806934,0.84601598047965,0.99979701592855,1.00127143779202,0.988599593576853,1.01410570938107
"K05834","Group","K05834",15,18,0.0363451812375,0.0613608006255,0.00158146586712332,0.00809404075911335,0.846131438296946,0.99979701592855,1.00109678964128,0.990148724870228,1.01216590705747
"K03710","Group","K03710",20,20,0.1974137715805,0.251733005138,-0.0059468205862748,0.0304705749171334,0.846302782817886,0.99979701592855,0.995886461948789,0.955502036091631,1.03797774115655
"K11537","Group","K11537",20,19,0.062281859769,0.0865408823505,0.00184756025616312,0.00949581823937628,0.846769465843715,0.99979701592855,1.00128145154074,0.988447164367162,1.01428238285393
"K07647","Group","K07647",15,19,0.025305752466,0.0489935308795,0.00120751254635164,0.00620809569012536,0.846815769825169,0.99979701592855,1.00083733428578,0.992431646149752,1.00931421683939
"K03077","Group","K03077",20,20,0.36369304033,0.4600071123995,-0.0061772449249974,0.0318038733109002,0.847030952525559,0.99979701592855,0.995727413675835,0.95362050561443,1.03969354319489
"K01194","Group","K01194",17,20,0.057760327707,0.1134250787535,-0.00332879553508799,0.0171564937692506,0.847189503298377,0.99979701592855,0.997695314635078,0.974709679639413,1.02122299761405
"K01875","Group","K01875",20,20,0.318461818105,0.34829955531,-0.0035357623082768,0.0182244283202686,0.847199727457838,0.99979701592855,0.997552197092284,0.973156917999747,1.02255902159029
"K22041","Group","K22041",16,18,0.0284132329745,0.0518322276655,0.00119673939408113,0.00617777139343739,0.84742928197779,0.99979701592855,1.00082986068087,0.992465121685176,1.00926509974445
"K07791","Group","K07791",18,19,0.040216280002,0.065328059636,0.00155546864744254,0.00804020212081615,0.847628044315289,0.99979701592855,1.00107875014025,0.990203306914212,1.01207363880192
"K16788","Group","K16788",14,19,0.0142328996415,0.0284717939385,0.00214074250854005,0.0110706019127729,0.847697685190811,0.99979701592855,1.0014849510837,0.98653515199657,1.01666129708331
