"","Feature","P","FDR","FC","NPC association"
"Kyungwonvirus","Kyungwonvirus",4.59166079002673e-05,0.000524329809342466,0.911577567331273,"enriched"
"Bertelyvirus","Bertelyvirus",4.59213586796979e-05,0.000524329809342466,0.91363101845844,"enriched"
"Sextaecvirus","Sextaecvirus",4.60346299702132e-05,0.000524329809342466,0.917171547577931,"enriched"
"Crocodylidpoxvirus","Crocodylidpoxvirus",4.60592157766057e-05,0.000524329809342466,0.91384481026058,"enriched"
"Mooreparkvirus","Mooreparkvirus",4.63766193397422e-05,0.000524329809342466,0.904966943460171,"enriched"
"Erskinevirus","Erskinevirus",4.67028855711435e-05,0.000524329809342466,0.912636051716564,"enriched"
"Vespertilionpoxvirus","Vespertilionpoxvirus",4.68293132580107e-05,0.000524329809342466,0.914037173789595,"enriched"
"Jujuvirus","Jujuvirus",4.68573609302645e-05,0.000524329809342466,0.914467856142817,"enriched"
"Lessievirus","Lessievirus",4.71103540628876e-05,0.000524329809342466,0.915108309759853,"enriched"
"Northamptonvirus","Northamptonvirus",4.71748224893417e-05,0.000524329809342466,0.914166987023371,"enriched"
"Shapirovirus","Shapirovirus",4.73819923457624e-05,0.000524329809342466,0.91510536817017,"enriched"
"Marisediminicola","Marisediminicola",4.8156592944954e-05,0.000524329809342466,0.932344360323254,"enriched"
"Cepunavirus","Cepunavirus",4.82685873222314e-05,0.000524329809342466,0.91283189604349,"enriched"
"Oryzopoxvirus","Oryzopoxvirus",4.82916860950889e-05,0.000524329809342466,0.91274850157644,"enriched"
"Chiangmaivirus","Chiangmaivirus",4.83441425623784e-05,0.000524329809342466,0.914002829740538,"enriched"
"Cobrasixvirus","Cobrasixvirus",4.83982319540124e-05,0.000524329809342466,0.913259934968612,"enriched"
"Mementomorivirus","Mementomorivirus",4.84314017961288e-05,0.000524329809342466,0.916028122780494,"enriched"
"Candidatus Methanoliparum","Candidatus Methanoliparum",4.87113853287546e-05,0.000524329809342466,0.898467794857987,"enriched"
"Gammascleroulivirus","Gammascleroulivirus",4.90707393720771e-05,0.000524329809342466,0.912055049101954,"enriched"
"Bottigliavirus","Bottigliavirus",4.90736689450117e-05,0.000524329809342466,0.912601006504688,"enriched"
"Cheoctovirus","Cheoctovirus",4.90865949502833e-05,0.000524329809342466,0.916041505110123,"enriched"
"Candidatus Nanohalovita","Candidatus Nanohalovita",4.90896639034712e-05,0.000524329809342466,0.914811362504341,"enriched"
"Quhwahvirus","Quhwahvirus",4.91022201054386e-05,0.000524329809342466,0.914429683479826,"enriched"
"Betanudivirus","Betanudivirus",4.91177309177596e-05,0.000524329809342466,0.91265550889462,"enriched"
"Wphvirus","Wphvirus",4.9279529277172e-05,0.000524329809342466,0.914160937032962,"enriched"
"Gemytripvirus","Gemytripvirus",4.9283322553687e-05,0.000524329809342466,0.91338885177062,"enriched"
"Rotavirus","Rotavirus",4.94241959203556e-05,0.000524329809342466,0.911757985337041,"enriched"
"Luzseptimavirus","Luzseptimavirus",4.96735849043579e-05,0.000524329809342466,0.914014931091757,"enriched"
"Alphavirus","Alphavirus",4.97796112947736e-05,0.000524329809342466,0.914016503608818,"enriched"
"Justusliebigvirus","Justusliebigvirus",4.98150879742376e-05,0.000524329809342466,0.915685038486181,"enriched"
"Innesvirus","Innesvirus",4.9858173864466e-05,0.000524329809342466,0.916796653114905,"enriched"
"Charlievirus","Charlievirus",4.99171530227157e-05,0.000524329809342466,0.914156280121857,"enriched"
"Bequatrovirus","Bequatrovirus",4.99626560180166e-05,0.000524329809342466,0.912627664264188,"enriched"
"Watanabevirus","Watanabevirus",5.00735932758626e-05,0.000524329809342466,0.913361609080931,"enriched"
"Siadenovirus","Siadenovirus",5.03925968593222e-05,0.000524329809342466,0.913047359337489,"enriched"
"Julieunavirus","Julieunavirus",5.04522270190157e-05,0.000524329809342466,0.914315926492511,"enriched"
"Lysobacter","Lysobacter",5.07671211119474e-05,0.000524329809342466,1.235819929445,"depleted"
"Acadianvirus","Acadianvirus",5.11121100902111e-05,0.000524329809342466,0.914939352367962,"enriched"
"Loessnervirus","Loessnervirus",5.129832331861e-05,0.000524329809342466,0.913996661626649,"enriched"
"Amnibacterium","Amnibacterium",5.14552783896035e-05,0.000524329809342466,0.913682193388037,"enriched"
"Coopervirus","Coopervirus",5.15669071809514e-05,0.000524329809342466,0.914783242621944,"enriched"
"Halovibrio","Halovibrio",5.16325376698459e-05,0.000524329809342466,0.91384481026058,"enriched"
"Gammapleolipovirus","Gammapleolipovirus",5.16629049678899e-05,0.000524329809342466,0.91383864321308,"enriched"
"Dybvigvirus","Dybvigvirus",5.18366643220122e-05,0.000524329809342466,0.913208292093187,"enriched"
"Caldivirga","Caldivirga",5.20448630561475e-05,0.000524329809342466,0.913492284380523,"enriched"
"Alphasphaerolipovirus","Alphasphaerolipovirus",5.21046371934684e-05,0.000524329809342466,0.914472454132359,"enriched"
"Alphanucleorhabdovirus","Alphanucleorhabdovirus",5.21436464659916e-05,0.000524329809342466,0.922219031930484,"enriched"
"Labanvirus","Labanvirus",5.21585732754931e-05,0.000524329809342466,0.91399977591715,"enriched"
"Imvubuvirus","Imvubuvirus",5.21893180768459e-05,0.000524329809342466,0.914474027436566,"enriched"
