"","Feature","P","FDR","FC","NPC association"
"COG4422","COG4422",0.00700428355685376,0.999996497980396,1.06238423572019,"depleted"
"ENOG4107PPM","ENOG4107PPM",0.00700726864850865,0.999996497980396,1.03047217045889,"depleted"
"ENOG41090KS","ENOG41090KS",0.00707648666714906,0.999996497980396,1.07995791827249,"depleted"
"ENOG4111QDN","ENOG4111QDN",0.00707648666714906,0.999996497980396,1.07995791827249,"depleted"
"ENOG4108WJV","ENOG4108WJV",0.00748895461543143,0.999996497980396,1.0479825410191,"depleted"
"ENOG4106RTR","ENOG4106RTR",0.00755529834674773,0.999996497980396,1.06101436429357,"depleted"
"ENOG410YIJR","ENOG410YIJR",0.00755529834674773,0.999996497980396,1.06101436429357,"depleted"
"COG4289","COG4289",0.00757148728026353,0.999996497980396,1.02365435158348,"depleted"
"ENOG41069F1","ENOG41069F1",0.00757148728026353,0.999996497980396,1.02365435158348,"depleted"
"COG3959","COG3959",0.0075784022198911,0.999996497980396,1.03640333321909,"depleted"
"COG0617","COG0617",0.00767449601061612,0.999996497980396,0.941865926612123,"enriched"
"ENOG4107GHE","ENOG4107GHE",0.00768690684290532,0.999996497980396,1.04769340111504,"depleted"
"ENOG410ZJR9","ENOG410ZJR9",0.00768690684290532,0.999996497980396,1.04769340111504,"depleted"
"COG4822","COG4822",0.00778509683587142,0.999996497980396,1.03014480081377,"depleted"
"ENOG4105QHW","ENOG4105QHW",0.00782554373446451,0.999996497980396,0.95909040898126,"enriched"
"ENOG4111YX5","ENOG4111YX5",0.00782554373446451,0.999996497980396,0.95909040898126,"enriched"
"ENOG4105SHD","ENOG4105SHD",0.00789089395175689,0.999996497980396,1.04504674738708,"depleted"
"ENOG411236I","ENOG411236I",0.00789089395175689,0.999996497980396,1.04504674738708,"depleted"
"ENOG4107R27","ENOG4107R27",0.00795714445619379,0.999996497980396,1.0150277483426,"depleted"
"ENOG4105QTY","ENOG4105QTY",0.0080608701204561,0.999996497980396,1.03051192308675,"depleted"
"ENOG4111Z8A","ENOG4111Z8A",0.0080608701204561,0.999996497980396,1.03051192308675,"depleted"
"ENOG4105PJ3","ENOG4105PJ3",0.00839886935194581,0.999996497980396,1.03023887586157,"depleted"
"ENOG4111XUI","ENOG4111XUI",0.00839886935194581,0.999996497980396,1.03023887586157,"depleted"
"COG0274","COG0274",0.00841169532984967,0.999996497980396,1.04334078378843,"depleted"
"ENOG4105FCI","ENOG4105FCI",0.00854781868778396,0.999996497980396,1.04307405831243,"depleted"
"ENOG4105TF8","ENOG4105TF8",0.00862569113359666,0.999996497980396,1.03450411340493,"depleted"
"ENOG4111VWT","ENOG4111VWT",0.00862569113359666,0.999996497980396,1.03450411340493,"depleted"
"ENOG4106K6D","ENOG4106K6D",0.00863412948851748,0.999996497980396,1.07874588365588,"depleted"
"ENOG410YAU0","ENOG410YAU0",0.00863412948851748,0.999996497980396,1.07874588365588,"depleted"
"ENOG41090R1","ENOG41090R1",0.00866046643106016,0.999996497980396,1.02172419097171,"depleted"
"ENOG4111QIB","ENOG4111QIB",0.00866046643106016,0.999996497980396,1.02172419097171,"depleted"
"COG3584","COG3584",0.00878133581308363,0.999996497980396,1.0289470777911,"depleted"
"COG2184","COG2184",0.0088029113561108,0.999996497980396,1.06217146428835,"depleted"
"COG0054","COG0054",0.00880661786922374,0.999996497980396,1.04074132618585,"depleted"
"ENOG4108UTT","ENOG4108UTT",0.00891970072660443,0.999996497980396,1.04045342528146,"depleted"
"ENOG410XY50","ENOG410XY50",0.00897189719202668,0.999996497980396,1.03329985075876,"depleted"
"COG2179","COG2179",0.00897750522242557,0.999996497980396,1.0459970164097,"depleted"
"ENOG4105CMW","ENOG4105CMW",0.00903479721071772,0.999996497980396,1.04020469121191,"depleted"
"COG0213","COG0213",0.00904729432051941,0.999996497980396,1.0401812248724,"depleted"
"ENOG4105GI3","ENOG4105GI3",0.00905669794555033,0.999996497980396,1.00754747962056,"depleted"
"ENOG4111PS2","ENOG4111PS2",0.00905669794555033,0.999996497980396,1.00754747962056,"depleted"
"ENOG41071Q6","ENOG41071Q6",0.0091702999299439,0.999996497980396,1.01451943363513,"depleted"
"ENOG4105WH5","ENOG4105WH5",0.00930530451871422,0.999996497980396,0.947252036943877,"enriched"
"COG0261","COG0261",0.00938648400155067,0.999996497980396,1.04618381329724,"depleted"
"COG1592","COG1592",0.00970530554909878,0.999996497980396,1.05289097412164,"depleted"
"ENOG4106RJK","ENOG4106RJK",0.00975032422986499,0.999996497980396,1.06404860895729,"depleted"
"ENOG410YHHT","ENOG410YHHT",0.00975032422986499,0.999996497980396,1.06404860895729,"depleted"
"ENOG4107J5G","ENOG4107J5G",0.0098237929260479,0.999996497980396,1.01956912236643,"depleted"
"ENOG4105KK9","ENOG4105KK9",0.00990980588184573,0.999996497980396,1.04714133618866,"depleted"
"ENOG4108HHA","ENOG4108HHA",0.0100280121117527,0.999996497980396,1.03495023400625,"depleted"
"ENOG41073EY","ENOG41073EY",0.0101248742187357,0.999996497980396,1.05379577503187,"depleted"
"ENOG410Z398","ENOG410Z398",0.0101248742187357,0.999996497980396,1.05379577503187,"depleted"
"ENOG4107TJU","ENOG4107TJU",0.0101714637619765,0.999996497980396,1.05027641446866,"depleted"
"ENOG41069W3","ENOG41069W3",0.0101824031727207,0.999996497980396,0.985857564459695,"enriched"
"ENOG411278Q","ENOG411278Q",0.0101824031727207,0.999996497980396,0.985857564459695,"enriched"
"COG4100","COG4100",0.0103834300295118,0.999996497980396,1.03982751103893,"depleted"
"ENOG4105CXI","ENOG4105CXI",0.0103834300295118,0.999996497980396,1.03982751103893,"depleted"
"ENOG41086FX","ENOG41086FX",0.0106913859078297,0.999996497980396,1.02474479481414,"depleted"
"ENOG4105N56","ENOG4105N56",0.0108470404566867,0.999996497980396,1.04813953263675,"depleted"
"ENOG4111NZ5","ENOG4111NZ5",0.0108470404566867,0.999996497980396,1.04813953263675,"depleted"
