Biomarker_Names	Average_Abundance(log10)	Enriched_Groups	LDA	KW_Pvalue
Shantouvirus	0.0			-
Shapirovirus	0.0	ID	0.002684564255348277	0.548451812998234
Sharonstreetvirus	0.0	HC	0.001681398049279465	0.9133266422864824
Shaspivirus	0.0			-
Shebanavirus	0.0			-
Sheenvirus	0.0			-
Shenzhenivirus	0.0	HC	0.0018182880860682967	0.5537061636144037
Shenzhenvirus	0.0	HC	0.0013788464496299131	0.5537061636144037
Sherbrookevirus	0.0			-
Shewanella	1.9003076011694713	HC	0.95394406121836	0.16772384227816634
Shigella	2.870110521841874	ID	2.25167086584698	0.8076561934993567
Shihmovirus	0.0			-
Shihovirus	0.0			-
Shihwivirus	0.0			-
Shilevirus	0.0			-
Shimwellia	0.5961625795872985	ID	0.20913608593098026	0.7454830184564035
Shinella	1.5977954494453543	HC	1.0222146316560312	0.009409435392827814
Shirahamavirus	0.0	HC	0.002857974348481115	0.49808144165474905
Shizishanvirus	0.0			-
Sholavirus	0.0			-
Shomudavirus	0.0			-
Shopitevirus	0.0			-
Shouchella	1.1811368810573657	HC	0.5754139400284835	0.08341508335601197
Shoyavirus	0.0			-
Shuimuvirus	0.2358565130143692	HC	0.26122275718807625	0.3365001861651229
Shuravirus	0.0			-
Siadenovirus	0.0	ID	0.004638245122354059	0.07079321150036613
Siansivirga	0.0	HC	0.0576708140385716	0.6456228047372248
Siaravirus	0.0			-
Siatvirus	0.0	HC	0.0029339979261049677	0.9714372531924288
Siccibacter	0.6268984080448631	ID	0.27894136783989487	0.4651748036184629
Sicinivirus	0.0			-
Sicregavirus	0.0			-
Sideroxyarcus	0.15364647963861308	HC	0.06782238923579297	0.5338418935166419
Sideroxydans	0.7043619693777556	HC	0.2655135638761777	0.0034845136380907546
Sidiousvirus	0.0			-
Sidiruavirus	0.0			-
Sieqvirus	0.0			-
Siftrevirus	0.0	HC	0.030644098890970407	0.3173105078628991
Sigmapapillomavirus	0.0			-
Sigmatorquevirus	0.0			-
Sigmavirus	0.0	ID	0.001976712207305132	0.9585673110861218
Silentrexvirus	0.0			-
Silicimonas	0.3505467501785193	HC	0.17068181275087796	0.01491204965521588
Silvanigrella	0.0	HC	0.05990823997081657	0.048307142590648625
Silviavirus	0.0	HC	0.039777487479218034	0.8100002213534401
Silvimonas	0.5005256517348573	HC	0.27081435348832744	0.009409435392827814
Simiaoa	3.5377876375686546	ID	2.7523566134963615	0.4651748036184629
Simiduia	0.6196962310177839	ID	0.18470264709594594	0.9353224500924857
Simiispumavirus	0.0	HC	0.0034284705321998054	0.15789010690479502
Siminovitchia	0.9762728778837895	HC	0.43299931560149474	0.19414845126597652
Siminovitchvirus	0.0	HC	0.0020776421307846125	0.15207808079297255
Simkania	0.0	HC	0.022530986901367782	0.11049878401993367
Simonsiella	0.0	ID	0.023927689184805548	0.34376459713413154
Simpcentumvirus	0.0			-
Simplexvirus	0.0	HC	0.0021061077744668364	0.07028711202200234
Simplicispira	0.39527186292787364	HC	0.20675744131901616	0.05146207608338047
Sinaivirus	0.0	ID	0.004799256820969966	0.706480142402653
Sinanaerobacter	1.3218241618743252	HC	0.4085785274270418	0.7049097275727675
Sincthavirus	0.0			-
Singulisphaera	0.23219173844999885	HC	0.17253696817404	0.09893159920140912
Sinimarinibacterium	0.5774866467116914	HC	0.17993103386087161	0.5517753193316735
Siniperhavirus	0.0			-
Sinomicrobium	0.48814138255497797	HC	0.12312601964015414	0.15954465937786846
