Taxonomy	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
Kiritimatiellota	912	564	254	254	133	349	34	66	159	120	140	459	38	52	287	40	307	136	150	140	92	13	138	283	142	85	55	163	74	364	127	181	142	71	55	215	107	87	282	109
Kitrinoviricota	36	13	20	39	8	33	11	20	22	4	2	1	0	5	7	1	18	38	5	4	2	3	1	3	2	9	8	15	3	1	14	9	3	4	10	14	1	20	3	1
Lenarviricota	28	20	8	9	19	5	48	40	5	11	9	4	0	0	3	72	49	5	8	2	0	6	10	5	1	10	9	14	107	1	69	26	9	3	64	51	69	27	25	173
Lentisphaerota	17	25	11	12	5	22	12	2	11	7	10	11	10	37	24	4	16	24	0	31	2	4	9	7	10	18	12	31	15	12	17	11	14	20	13	44	63	30	57	10
Microsporidia	227	260	84	99	31	69	100	22	107	106	74	76	40	98	61	19	115	63	104	122	40	44	229	257	88	99	56	41	125	98	81	112	114	47	96	53	210	230	640	361
Mucoromycota	1735	1426	1096	1085	350	2081	805	394	369	886	743	1163	519	213	472	733	1239	1185	325	356	621	2420	406	601	481	714	565	539	767	487	722	890	757	476	692	444	485	1406	1386	2008
Mycoplasmatota	18899	17330	3507	6713	2789	4078	4115	811	1833	3797	3082	13123	2329	1885	2595	2722	5795	5396	2689	2455	2268	1972	4762	3657	3033	2878	2689	2667	4287	2508	9322	5922	3493	1357	3042	2441	3748	4943	13599	6288
Myxococcota	16215	13814	8997	8169	2829	9712	2229	1779	2020	2731	3044	7331	912	1829	2581	2425	4697	3284	4745	5216	574	790	1581	6391	2558	2993	2506	9419	1633	4845	6802	6198	3803	3600	1675	5002	5776	4264	9072	4376
Nanoarchaeota	8	20	6	1	2	5	5	1	17	5	14	2	0	0	4	0	3	0	3	3	5	2	4	5	2	133	1	9	1	4	2	3	0	1	10	1	2	4	1	7
Negarnaviricota	46	129	193	71	23	70	151	36	15	209	43	0	10	45	31	5	79	58	87	10	7	14	41	21	15	57	39	32	134	43	141	71	13	174	26	16	27	66	160	133
Nitrososphaerota	448	660	216	307	129	318	256	107	196	286	141	117	110	130	134	146	340	334	212	127	77	142	156	212	198	156	200	335	147	357	194	253	124	148	208	252	246	253	453	661
Nitrospinota	345	519	327	312	159	212	210	52	126	102	363	138	0	118	398	36	454	262	453	51	20	28	206	427	46	60	259	200	137	91	171	222	745	71	187	265	88	250	364	181
Nitrospirota	1331	1805	673	635	200	582	434	306	454	575	323	591	168	202	374	343	591	307	370	515	213	151	423	489	279	577	458	863	431	478	444	1006	298	444	266	393	633	815	878	1134
Nucleocytoviricota	814	1766	264	228	97	544	222	850	131	134	379	388	226	142	138	81	726	280	493	132	85	136	131	163	150	293	176	157	237	213	278	363	66	132	471	84	186	223	273	223
Oomycota	307	89	115	58	33	170	31	320	113	100	175	105	52	14	19	45	174	41	56	145	20	10	25	35	51	28	37	64	119	45	43	83	470	26	29	74	49	85	140	41
Parabasalia	712	996	445	696	249	696	684	281	149	628	314	479	174	208	238	258	942	307	278	142	239	255	353	347	236	263	290	271	371	253	510	623	379	108	377	254	551	806	773	510
Peploviricota	60	32	10	14	12	58	23	2	7	48	33	2	9	3	8	204	18	15	5	4	1	2	1	118	40	11	106	20	8	4	19	77	259	22	2	8	16	7	25	9
Phixviricota	0	1755	71	2	0	0	0	0	7	0	42	938	0	0	0	0	0	0	0	0	0	0	1	0	144	22	0	0	0	1	0	1	5	0	0	0	0	583	0	2
Pisuviricota	54	32	17	7	18	6	7	4	5	2	2	22	10	1	8	18	79	9	8	18	2	3	4	24	12	16	8	7	4	5	26	4	10	8	9	23	12	55	22	3
Planctomycetota	12794	12407	7557	8677	2803	10186	3313	1659	3129	4025	3146	5420	1308	2148	2929	2407	5418	3216	3323	5281	1335	1061	2384	5513	2376	3400	2944	7238	2818	4970	6215	5417	4327	2605	1933	4007	6158	5142	9736	7000
Preplasmiviricota	76	8	0	1	4	2	0	0	1	9	1	2	2	8	2	2	2	3	0	3	1	4	2	2	14	0	0	98	4	3	76	9	2	1	0	0	4	9	18	1
Pseudomonadota	1321618	947559	1108627	2729719	2970408	4732024	245543	745762	306858	488446	649076	716060	16083360	167315	523942	545365	988974	477271	362381	415765	333327	3545315	517870	955546	777377	489714	672934	3036553	1900112	303353	397617	460762	801989	364026	611853	341361	3675239	2568782	1398371	735763
Rhodophyta	92	91	51	15	32	71	15	4	42	27	14	21	11	6	6	6	28	12	2	7	7	6	12	12	7	25	38	13	8	12	10	26	25	33	9	19	15	11	15	8
Rhodothermota	1435	1509	775	769	281	1097	243	136	294	182	277	847	40	130	282	236	408	443	418	657	67	40	140	666	166	940	371	679	81	371	613	537	478	317	161	467	423	583	1360	203
Saleviricota	1	0	62	0	2	0	2	6	23	6	57	0	0	5	0	11	3	22	3	8	0	4	2	0	1	15	0	48	11	3	26	46	0	0	0	44	13	0	0	11
Spirochaetota	23319	22902	16918	19226	6218	19728	15463	3858	6830	12911	9625	13828	3574	4602	11552	5606	14600	11156	11765	8084	6262	6873	14961	16376	6738	10597	10082	18498	15454	11488	15137	14981	16317	8956	9649	8308	13496	17506	29362	25785
Streptophyta	561618	525558	261723	338724	123971	353929	294731	145375	139479	236368	218580	312833	98693	101982	139610	164280	340672	225904	206288	174935	127310	161198	226290	219981	178173	213070	173784	192792	236425	176891	279647	292139	239271	105726	197840	174457	226291	281633	463610	380157
Synergistota	12291	11843	44417	7050	2008	5672	2205	846	1447	1545	3653	5641	543	646	1871	1467	2490	1839	1856	85201	795	679	2920	3482	1315	4474	2270	4140	1386	1820	2762	10559	6786	1811	1530	2745	3373	3497	6770	4250
Taleaviricota	6	24	19	14	4	9	0	10	1	9	2	3	2	3	14	5	26	3	0	6	3	4	11	4	2	20	25	1	3	3	12	10	8	6	9	3	2	3	4	3
Thermodesulfobacteriota	122773	164275	37615	258523	10832	30537	13219	14945	14117	25243	27020	51328	4181	5254	17353	8277	23135	13138	17975	31888	5074	4750	13867	40232	27413	83716	10310	40896	14040	14851	30904	25519	42683	118092	9895	12680	19129	51224	63994	24231
Thermodesulfobiota	105	38	33	44	13	33	48	8	47	11	18	69	17	8	4	16	29	14	26	20	16	9	20	17	23	16	37	38	24	20	70	31	92	52	17	19	35	35	47	68
Thermomicrobiota	418	399	267	272	53	167	20	42	54	38	132	480	19	21	32	20	114	95	122	110	8	14	62	218	58	76	63	123	56	37	136	142	131	79	60	162	79	96	227	95
Thermoproteota	1558	913	743	579	280	729	627	392	381	548	393	741	138	217	470	267	540	281	540	370	330	186	272	414	336	238	378	522	583	388	630	603	650	172	449	261	486	768	829	655
Thermosulfidibacterota	66	25	6	31	6	10	4	7	2	38	12	14	5	6	13	14	20	43	9	2	9	2	12	13	7	5	62	15	18	10	6	12	16	4	4	30	26	6	49	12
Thermotogota	4395	2595	1335	2193	719	1944	1394	502	892	1466	969	2428	361	538	843	944	1721	633	881	734	807	601	767	1067	778	1077	989	1134	1341	1210	2135	1882	1199	892	1110	918	1123	1915	2188	2667
Uroviricota	18936	531137	40099	166547	32263	360775	127464	3228	14316	1128	12174	2329	516	26615	3805	2782	40529	191857	27677	78209	9326	286274	22516	99470	4585	95798	2773	1269175	1890	6113	49092	4061	10288	6586	3867	84447	9650	26833	61698	6730
Verrucomicrobiota	1814458	38252	41706	7556	3265	8000	1335084	1918113	3613	5623	3188	195642	1443	1537	5856	11947	185462	53926	4324	2720344	3565	1413	2016102	5530	5674	215349	3228	8321	3201	3877	66298	19176	4170	3542	2525	3558	3528	6975	8910	6043
Vulcanimicrobiota	230	83	67	40	31	67	21	12	8	22	16	75	6	20	22	9	56	31	16	25	13	16	14	10	14	43	14	52	47	12	28	52	25	14	9	42	67	31	47	18
